ID,Book課本,Lesson第幾課,tay泰雅語,zh_TW中文,參考例句Sentences Reference,可能例句 Possible References
540,6,5,tbcyan,分別,521;713;744,
541,6,5,nwey,但願,496;726;746,
542,6,6,knlahang,機構,749,
543,6,6,Gokosyo,鄉公所,751,
544,6,6,Esyesyo,衛生所,753,
545,6,6,Ubing kyoku,郵局,755,
546,6,6,Kenbokay,展望會,758,
547,6,6,hiʼan,平安,757;760,
548,6,6,lkhuyan,會場,,
549,6,6,Btiyux,財產,752,
550,6,6,Huzisyo,戶政事務所,754,
551,6,6,Hacisyo,派出所,757,
552,6,6,cbwan,包含,643;759,
553,6,7,Renkyosi,宣教士,763,
554,6,7,lmgtuw,感動,765,
555,6,7,Kiristo cyoro kyokay,基督長老教會,766,
556,6,7,Tensing kyokay,天主教,766,
557,6,7,smʼutux,崇拜,692;767,
558,6,7,kʼalang,別人,763,
559,6,7,Sinyaso kyokay,真耶穌教會,766,
560,6,7,mhut,約束,529;697;770,
561,6,8,pnsʼunan,結婚,774;778;784,
562,6,8,cragan,輔助,776,
563,6,8,hkngyan,找尋,604;779;793,
564,6,8,rrow,彼此扶持,782,
565,6,8,sbaley,處理,484;768;784,
566,6,8,slabang,廣擴,786,
567,6,8,msbayux,招贅,776,
568,6,8,ppsiyey,媒人,778,
569,6,8,mbkal,交通,781,
570,6,8,mbley,和諧,784,
571,6,8,sswal,接納,786,
572,6,8,pnslungan,典範,787,
573,6,9,klayan ʼba,技能,792,
574,6,9,phkngyan,行程,793,
575,6,9,Amerika,美國,795,
576,6,9,ttingan Senpa,森巴鼓,796,
577,6,9,scyax,光耀,802,
578,6,9,tgamil,依據,793,
579,6,9,rmuruw,推動,574;616;794,
580,6,9,tlubuw prapa,管樂,796,
581,6,9,cʼnrux,建造,801,
582,6,10,ʼlu,大門,,
583,6,10,halan,步道,726;752;755;756;767;808;821;824;825;826,
584,6,10,snbil,保留,809,
585,6,10,pnuhi,種植,812,
586,6,10,inkyasan,型狀,721;810;814,
587,6,10,ppiyan,舞姿,464;471;807;829,
588,6,10,payas,榕樹,809,
589,6,10,khuʼ,穀倉,810,
590,6,10,yumin,茄冬樹,461;789;812,
591,6,10,rehyen,鋸齒,814,
592,6,11,ssyow,周圍,466;818;823,
593,6,11,psnun,需要,822,
594,6,11,nrnong,流汗,,
595,6,11,mgnow,玩耍,826,
596,6,11,khangan,珍惜,832;836;844,
597,6,11,gmilan,依據,822,
598,6,11,tnahan,跑道,826,
599,6,11,snlyan,聚集地,,
600,6,11,mraʼ,利用,467;831,
601,6,12,bkalan,聯絡,836,
602,6,12,snʼasan,節慶,836;838,
603,6,12,lwey,又,364;702;771;840,
604,6,12,yaney,小舅子,560;841,
605,6,12,cinsali,一家人,775;834;848,
606,6,12,utux bbwan,家族,544;754;779;836;838;842;843;847,
607,6,12,msswe,兄弟姊妹,839,
608,6,12,yama,女婿,841,
609,6,12,sʼutux,合一,450;621;842,
